Steve Lukather,bassGuitar,S10000,CO0576,RO0013,,Adam Levine,CO0001,,acousticGuitar,RO0001,,,Global,M0001,,222 Records,RL0001,,M0001,RL0021,S10000, 2008-02-08 00:00:00,Epic,Beat it,Global
Cyndi Lauper,leadVoice,S10045,CO0117,RO0047,,,,,,,,,,,,,,,,,,,,,
Lennie Petze,executiveProducer,S10045,CO0361,RO0033,,,,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10045,CO0202,RO0024,,,,,,,,,,,,,,,,,,,,,
Rick Chertoff,producer,S10045,CO0515,RO0062,,,,,,,,,,,,,,,,,,,,,
Eric Bazilian,electricGuitar,S10045,CO0179,RO0031,,,,,,,,,,,,,,,,,,,,,
Robidoux,dataCollection,S10045,CO0524,RO0023,,,,,,,,,,,,,,,,,,,,,
Nick O'Malley,bassGuitar,S10046,CO0456,RO0013,,,,,,,,,,,,,,,,,,,,,
James Ford,keyboard,S10046,CO0263,RO0044,,,,,,,,,,,,,,,,,,,,,
Alex Turner,lyricist,S10046,CO0015,RO0049,,,,,,,,,,,,,,,,,,,,,
Alex Turner,composer,S10046,CO0015,RO0019,,,,,,,,,,,,,,,,,,,,,
Jamie Cook,composer,S10046,CO0267,RO0019,,,,,,,,,,,,,,,,,,,,,
Nick O'Malley,composer,S10046,CO0456,RO0019,,,,,,,,,,,,,,,,,,,,,
Matt Helders,composer,S10046,CO0405,RO0019,,,,,,,,,,,,,,,,,,,,,
Tchad Blake,mixingEngineer,S10046,CO0588,RO0054,,,,,,,,,,,,,,,,,,,,,
Nick O'Malley,backgroundVoice,S10046,CO0456,RO0011,,,,,,,,,,,,,,,,,,,,,
Matt Helders,backgroundVoice,S10046,CO0405,RO0011,,,,,,,,,,,,,,,,,,,,,
Matt Helders,drum,S10046,CO0405,RO0028,,,,,,,,,,,,,,,,,,,,,
Ian Shea,engineer,S10046,CO0246,RO0032,,,,,,,,,,,,,,,,,,,,,
Alex Turner,leadVoice,S10046,CO0015,RO0047,,,,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10046,CO0202,RO0024,,,,,,,,,,,,,,,,,,,,,
Brian Lucey,mastering,S10046,CO0076,RO0051,,,,,,,,,,,,,,,,,,,,,
Matt Helders,percussion,S10046,CO0405,RO0059,,,,,,,,,,,,,,,,,,,,,
James Ford,producer,S10046,CO0263,RO0062,,,,,,,,,,,,,,,,,,,,,
Ross Orton,producer,S10046,CO0532,RO0062,,,,,,,,,,,,,,,,,,,,,
Alex Turner,electricGuitar,S10046,CO0015,RO0031,,,,,,,,,,,,,,,,,,,,,
Jamie Cook,acousticGuitar,S10046,CO0267,RO0001,,,,,,,,,,,,,,,,,,,,,
Sivakolunthu,dataCollection,S10046,CO0564,RO0023,,,,,,,,,,,,,,,,,,,,,
Chris Leonard,bassGuitar,S10047,CO0104,RO0013,,,,,,,,,,,,,,,,,,,,,
Ed Sheeran,voice,S10047,CO0167,RO0086,,,,,,,,,,,,,,,,,,,,,
Jake Gosling,keyboard,S10047,CO0261,RO0044,,,,,,,,,,,,,,,,,,,,,
Ed Sheeran,lyricist,S10047,CO0167,RO0049,,,,,,,,,,,,,,,,,,,,,
Ed Sheeran,composer,S10047,CO0167,RO0019,,,,,,,,,,,,,,,,,,,,,
Mark Stent,mixing,S10047,CO0395,RO0052,,,,,,,,,,,,,,,,,,,,,
Jake Gosling,drum,S10047,CO0261,RO0028,,,,,,,,,,,,,,,,,,,,,
Peter Gosling,piano,S10047,CO0487,RO0060,,,,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10047,CO0202,RO0024,,,,,,,,,,,,,,,,,,,,,
Stuart Hawkes,mastering,S10047,CO0580,RO0051,,,,,,,,,,,,,,,,,,,,,
Jake Gosling,percussion,S10047,CO0261,RO0059,,,,,,,,,,,,,,,,,,,,,
Jake Gosling,producer,S10047,CO0261,RO0062,,,,,,,,,,,,,,,,,,,,,
Chris Leonard,electricGuitar,S10047,CO0104,RO0031,,,,,,,,,,,,,,,,,,,,,
Chris Leonard,hammondOrgan,S10047,CO0104,RO0041,,,,,,,,,,,,,,,,,,,,,
Ed Sheeran,acousticGuitar,S10047,CO0167,RO0001,,,,,,,,,,,,,,,,,,,,,
Jake Gosling,programming,S10047,CO0261,RO0063,,,,,,,,,,,,,,,,,,,,,
Sologub,dataCollection,S10047,CO0566,RO0023,,,,,,,,,,,,,,,,,,,,,
Taylor Swift,lyricist,S10048,CO0587,RO0049,,,,,,,,,,,,,,,,,,,,,
Liz Rose,lyricist,S10048,CO0370,RO0049,,,,,,,,,,,,,,,,,,,,,
Hillary Lindsey,lyricist,S10048,CO0231,RO0049,,,,,,,,,,,,,,,,,,,,,
Matt Billingslea,drum,S10048,CO0402,RO0028,,,,,,,,,,,,,,,,,,,,,
Mike Meadows,mandolin,S10048,CO0436,RO0050,,,,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10048,CO0202,RO0024,,,,,,,,,,,,,,,,,,,,,
Randy Merril,mastering,S10048,CO0511,RO0051,,,,,,,,,,,,,,,,,,,,,
Mike Meadows,acousticGuitar,S10048,CO0436,RO0001,,,,,,,,,,,,,,,,,,,,,
Takata,dataCollection,S10048,CO0583,RO0023,,,,,,,,,,,,,,,,,,,,,
Amos Heller,bassGuitar,S10048,CO0027,RO0013,,,,,,,,,,,,,,,,,,,,,
Ryan Tedder,composer,S10048,CO0540,RO0019,,,,,,,,,,,,,,,,,,,,,
Serben Ghenea,mixingEngineer,S10048,CO0553,RO0054,,,,,,,,,,,,,,,,,,,,,
Mike Meadows,backgroundVoice,S10048,CO0436,RO0011,,,,,,,,,,,,,,,,,,,,,
Caitilin Evanson,backgroundVoice,S10048,CO0086,RO0011,,,,,,,,,,,,,,,,,,,,,
Paul Sidoti,backgroundVoice,S10048,CO0483,RO0011,,,,,,,,,,,,,,,,,,,,,
Derek Garten,engineer,S10048,CO0117,RO0032,,,,,,,,,,,,,,,,,,,,,
John Hanes,engineer,S10048,CO0306,RO0032,,,,,,,,,,,,,,,,,,,,,
Lowell Reynolds,engineer,S10048,CO0372,RO0032,,,,,,,,,,,,,,,,,,,,,
Taylor Swift,leadVoice,S10048,CO0587,RO0047,,,,,,,,,,,,,,,,,,,,,
Lowell Reynolds,recordingEngineer,S10048,CO0372,RO0064,,,,,,,,,,,,,,,,,,,,,
David Payne,recordingEngineer,S10048,CO0117,RO0064,,,,,,,,,,,,,,,,,,,,,
John Yudkin,fiddle,S10048,CO0314,RO0034,,,,,,,,,,,,,,,,,,,,,
Christopher Rowe,producer,S10048,CO0109,RO0062,,,,,,,,,,,,,,,,,,,,,
Taylor Swift,producer,S10048,CO0587,RO0062,,,,,,,,,,,,,,,,,,,,,
Paul Sidoti,electricGuitar,S10048,CO0483,RO0031,,,,,,,,,,,,,,,,,,,,,
Max Bernstein,electricGuitar,S10048,CO0415,RO0031,,,,,,,,,,,,,,,,,,,,,
Christopher Rowe,voiceEngineering,S10048,CO0109,RO0087,,,,,,,,,,,,,,,,,,,,,
Jarad Higgins,lyricist,S10049,CO0269,RO0049,,,,,,,,,,,,,,,,,,,,,
Arijan Vujica,lyricist,S10049,CO0044,RO0049,,,,,,,,,,,,,,,,,,,,,
Max Lord,composer,S10049,CO0416,RO0019,,,,,,,,,,,,,,,,,,,,,
Filip Geè?in,composer,S10049,CO0188,RO0019,,,,,,,,,,,,,,,,,,,,,
Manny Marroquin,mixingEngineer,S10049,CO0386,RO0054,,,,,,,,,,,,,,,,,,,,,
Jarad Higgins,leadVoice,S10049,CO0269,RO0047,,,,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10049,CO0202,RO0024,,,,,,,,,,,,,,,,,,,,,
Tatsuya Sato,mastering,S10049,CO0586,RO0051,,,,,,,,,,,,,,,,,,,,,
Robin Florent,assistantMixingEngineer,S10049,CO0525,RO0007,,,,,,,,,,,,,,,,,,,,,
Jeremie Inhaber,assistantMixingEngineer,S10049,CO0282,RO0007,,,,,,,,,,,,,,,,,,,,,
Chris Galland,assistantMixingEngineer,S10049,CO0100,RO0007,,,,,,,,,,,,,,,,,,,,,
Max Lord,producer,S10049,CO0416,RO0062,,,,,,,,,,,,,,,,,,,,,
Filip Geè?in,producer,S10049,CO0188,RO0062,,,,,,,,,,,,,,,,,,,,,
Tang,dataCollection,S10049,CO0585,RO0023,,,,,,,,,,,,,,,,,,,,,
Wiz Khalifa,lyricist,S10050,CO0634,RO0049,,,,,,,,,,,,,,,,,,,,,
Mikkel Storleer Eriksen,lyricist,S10050,CO0440,RO0049,,,,,,,,,,,,,,,,,,,,,
Tor Erik Hermansen,lyricist,S10050,CO0612,RO0049,,,,,,,,,,,,,,,,,,,,,
Phil Tan,mixingEngineer,S10050,CO0496,RO0054,,,,,,,,,,,,,,,,,,,,,
Damien Lewis,assistantEngineer,S10050,CO0117,RO0006,,,,,,,,,,,,,,,,,,,,,
Stargate,audioEngineer,S10050,CO0569,RO0010,,,,,,,,,,,,,,,,,,,,,
Miles Walker,audioEngineer,S10050,CO0442,RO0010,,,,,,,,,,,,,,,,,,,,,
Stargate,recordingEngineer,S10050,CO0569,RO0064,,,,,,,,,,,,,,,,,,,,,
Miles Walker,recordingEngineer,S10050,CO0442,RO0064,,,,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10050,CO0202,RO0024,,,,,,,,,,,,,,,,,,,,,
Chris Gehringer,mastering,S10050,CO0102,RO0051,,,,,,,,,,,,,,,,,,,,,
Stargate,producer,S10050,CO0569,RO0062,,,,,,,,,,,,,,,,,,,,,
Tebeng Nzodoum,dataCollection,S10050,CO0589,RO0023,,,,,,,,,,,,,,,,,,,,,
Phil Collins,lyricist,S10051,CO0493,RO0049,,,,,,,,,,,,,,,,,,,,,
Phil Collins,drum,S10051,CO0493,RO0028,,,,,,,,,,,,,,,,,,,,,
Larry Muhoberac,piano,S10051,CO0351,RO0060,,,,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10051,CO0202,RO0024,,,,,,,,,,,,,,,,,,,,,
Bernie Grundman,mastering,S10051,CO0059,RO0051,,,,,,,,,,,,,,,,,,,,,
Luis Conte,percussion,S10051,CO0374,RO0059,,,,,,,,,,,,,,,,,,,,,
Rob Cavallo,acousticGuitar,S10051,CO0519,RO0001,,,,,,,,,,,,,,,,,,,,,
Carmen Rizzo,programming,S10051,CO0090,RO0063,,,,,,,,,,,,,,,,,,,,,
Toledo,dataCollection,S10051,CO0602,RO0023,,,,,,,,,,,,,,,,,,,,,
John Pierce,bassGuitar,S10051,CO0312,RO0013,,,,,,,,,,,,,,,,,,,,,
Larry Muhoberac,keyboard,S10051,CO0351,RO0044,,,,,,,,,,,,,,,,,,,,,
Phil Collins,composer,S10051,CO0493,RO0019,,,,,,,,,,,,,,,,,,,,,
Chris Lord-Alge,mixingEngineer,S10051,CO0105,RO0054,,,,,,,,,,,,,,,,,,,,,
Phil Collins,backgroundVoice,S10051,CO0493,RO0011,,,,,,,,,,,,,,,,,,,,,
Allen Sides,engineer,S10051,CO0023,RO0032,,,,,,,,,,,,,,,,,,,,,
Phil Collins,leadVoice,S10051,CO0493,RO0047,,,,,,,,,,,,,,,,,,,,,
Phil Collins,producer,S10051,CO0493,RO0062,,,,,,,,,,,,,,,,,,,,,
Rob Cavallo,producer,S10051,CO0519,RO0062,,,,,,,,,,,,,,,,,,,,,
Mark Goldenberg,electricGuitar,S10051,CO0392,RO0031,,,,,,,,,,,,,,,,,,,,,
Tim Pierce,electricGuitar,S10051,CO0600,RO0031,,,,,,,,,,,,,,,,,,,,,
Michael Thompson,electricGuitar,S10051,CO0428,RO0031,,,,,,,,,,,,,,,,,,,,,
Bruno Mars,lyricist,S10052,CO0081,RO0049,,,,,,,,,,,,,,,,,,,,,
Philip Lawrence,lyricist,S10052,CO0498,RO0049,,,,,,,,,,,,,,,,,,,,,
Ari Levine,lyricist,S10052,CO0042,RO0049,,,,,,,,,,,,,,,,,,,,,
Khalil Walton,lyricist,S10052,CO0341,RO0049,,,,,,,,,,,,,,,,,,,,,
Khari Cain,lyricist,S10052,CO0343,RO0049,,,,,,,,,,,,,,,,,,,,,
Bruno Mars,composer,S10052,CO0081,RO0019,,,,,,,,,,,,,,,,,,,,,
Manny Marroquin,mixingEngineer,S10052,CO0386,RO0054,,,,,,,,,,,,,,,,,,,,,
Ari Levine,engineer,S10052,CO0042,RO0032,,,,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10052,CO0202,RO0024,,,,,,,,,,,,,,,,,,,,,
Stepehn Marcussen,mastering,S10052,CO0570,RO0051,,,,,,,,,,,,,,,,,,,,,
Christian Plata,assistantMixingEngineer,S10052,CO0107,RO0007,,,,,,,,,,,,,,,,,,,,,
Erik Madrid,assistantMixingEngineer,S10052,CO0184,RO0007,,,,,,,,,,,,,,,,,,,,,
The Smeezingtons,producer,S10052,CO0596,RO0062,,,,,,,,,,,,,,,,,,,,,
Needlz,producer,S10052,CO0448,RO0062,,,,,,,,,,,,,,,,,,,,,
Trinh,dataCollection,S10052,CO0616,RO0023,,,,,,,,,,,,,,,,,,,,,
The Weeknd,bassGuitar,S10053,CO0597,RO0013,,,,,,,,,,,,,,,,,,,,,
Max Martin,bassGuitar,S10053,CO0417,RO0013,,,,,,,,,,,,,,,,,,,,,
Oscar Hotler,bassGuitar,S10053,CO0472,RO0013,,,,,,,,,,,,,,,,,,,,,
The Weeknd,lyricist,S10053,CO0597,RO0049,,,,,,,,,,,,,,,,,,,,,
Max Martin,lyricist,S10053,CO0417,RO0049,,,,,,,,,,,,,,,,,,,,,
Oscar Hotler,lyricist,S10053,CO0472,RO0049,,,,,,,,,,,,,,,,,,,,,
The Weeknd,composer,S10053,CO0597,RO0019,,,,,,,,,,,,,,,,,,,,,
John Hanes,mixingEngineer,S10053,CO0306,RO0054,,,,,,,,,,,,,,,,,,,,,
The Weeknd,drum,S10053,CO0597,RO0028,,,,,,,,,,,,,,,,,,,,,
Max Martin,drum,S10053,CO0417,RO0028,,,,,,,,,,,,,,,,,,,,,
Oscar Hotler,drum,S10053,CO0472,RO0028,,,,,,,,,,,,,,,,,,,,,
Shin Kamiyama,engineer,S10053,CO0559,RO0032,,,,,,,,,,,,,,,,,,,,,
The Weeknd,leadVoice,S10053,CO0597,RO0047,,,,,,,,,,,,,,,,,,,,,
Cory Bice,assistantEngineer,S10053,CO0114,RO0006,,,,,,,,,,,,,,,,,,,,,
Jeremy Lertola,assistantEngineer,S10053,CO0283,RO0006,,,,,,,,,,,,,,,,,,,,,
Sean Klein,assistantEngineer,S10053,CO0550,RO0006,,,,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10053,CO0202,RO0024,,,,,,,,,,,,,,,,,,,,,
Dave Kutch,mastering,S10053,CO0117,RO0051,,,,,,,,,,,,,,,,,,,,,
Kevin Peterson,mastering,S10053,CO0339,RO0051,,,,,,,,,,,,,,,,,,,,,
Max Martin,producer,S10053,CO0417,RO0062,,,,,,,,,,,,,,,,,,,,,
Oscar Hotler,producer,S10053,CO0472,RO0062,,,,,,,,,,,,,,,,,,,,,
The Weeknd,producer,S10053,CO0597,RO0062,,,,,,,,,,,,,,,,,,,,,
Turdalieva,dataCollection,S10053,CO0618,RO0023,,,,,,,,,,,,,,,,,,,,,
Stephan Ellis,bassGuitar,S10054,CO0571,RO0013,,,,,,,,,,,,,,,,,,,,,
Frankie Sullivan,lyricist,S10054,CO0195,RO0049,,,,,,,,,,,,,,,,,,,,,
Jim Peterik,lyricist,S10054,CO0290,RO0049,,,,,,,,,,,,,,,,,,,,,
Ryan Tedder,composer,S10054,CO0540,RO0019,,,,,,,,,,,,,,,,,,,,,
Hill Brim Swimmer,mixingEngineer,S10054,CO0230,RO0054,,,,,,,,,,,,,,,,,,,,,
Frankie Sullivan,backgroundVoice,S10054,CO0195,RO0011,,,,,,,,,,,,,,,,,,,,,
Jim Peterik,backgroundVoice,S10054,CO0290,RO0011,,,,,,,,,,,,,,,,,,,,,
Fergie Fredriksen,backgroundVoice,S10054,CO0187,RO0011,,,,,,,,,,,,,,,,,,,,,
Eddie Fisher,drum,S10054,CO0168,RO0028,,,,,,,,,,,,,,,,,,,,,
Phil Bonanno,engineer,S10054,CO0492,RO0032,,,,,,,,,,,,,,,,,,,,,
Mike Clink,engineer,S10054,CO0433,RO0032,,,,,,,,,,,,,,,,,,,,,
Dave bickler,leadVoice,S10054,CO0117,RO0047,,,,,,,,,,,,,,,,,,,,,
Frankie Sullivan,leadVoice,S10054,CO0195,RO0047,,,,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10054,CO0202,RO0024,,,,,,,,,,,,,,,,,,,,,
Doug Sax,mastering,S10054,CO0161,RO0051,,,,,,,,,,,,,,,,,,,,,
Marc Droubay,percussion,S10054,CO0387,RO0059,,,,,,,,,,,,,,,,,,,,,
Jim Peterik,producer,S10054,CO0290,RO0062,,,,,,,,,,,,,,,,,,,,,
Frankie Sullivan,producer,S10054,CO0195,RO0062,,,,,,,,,,,,,,,,,,,,,
Jim Peterik,electricGuitar,S10054,CO0290,RO0031,,,,,,,,,,,,,,,,,,,,,
Frankie Sullivan,acousticGuitar,S10054,CO0195,RO0001,,,,,,,,,,,,,,,,,,,,,
Vecchiarelli,dataCollection,S10054,CO0621,RO0023,,,,,,,,,,,,,,,,,,,,,
Josh Alexander,lyricist,S10055,CO0320,RO0049,,,,,,,,,,,,,,,,,,,,,
Billy Steinberg,lyricist,S10055,CO0062,RO0049,,,,,,,,,,,,,,,,,,,,,
Demi Lovato,composer,S10055,CO0117,RO0019,,,,,,,,,,,,,,,,,,,,,
Josh Alexander,mixingEngineer,S10055,CO0320,RO0054,,,,,,,,,,,,,,,,,,,,,
Demi Lovato,backgroundVoice,S10055,CO0117,RO0011,,,,,,,,,,,,,,,,,,,,,
Jaden Michaels,backgroundVoice,S10055,CO0259,RO0011,,,,,,,,,,,,,,,,,,,,,
Josh Alexander,drum,S10055,CO0320,RO0028,,,,,,,,,,,,,,,,,,,,,
Josh Alexander,engineer,S10055,CO0320,RO0032,,,,,,,,,,,,,,,,,,,,,
Chris Garcia,engineer,S10055,CO0101,RO0032,,,,,,,,,,,,,,,,,,,,,
Demi Lovato,leadVoice,S10055,CO0117,RO0047,,,,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10055,CO0202,RO0024,,,,,,,,,,,,,,,,,,,,,
Robert Vosgien,mastering,S10055,CO0523,RO0051,,,,,,,,,,,,,,,,,,,,,
Josh Alexander,percussion,S10055,CO0320,RO0059,,,,,,,,,,,,,,,,,,,,,
Josh Alexander,producer,S10055,CO0320,RO0062,,,,,,,,,,,,,,,,,,,,,
Billy Steinberg,producer,S10055,CO0062,RO0062,,,,,,,,,,,,,,,,,,,,,
Veloso,dataCollection,S10055,CO0622,RO0023,,,,,,,,,,,,,,,,,,,,,
Shavo Odadjian,bassGuitar,S10056,CO0557,RO0013,,,,,,,,,,,,,,,,,,,,,
Daron Malakian,composer,S10056,CO0117,RO0019,,,,,,,,,,,,,,,,,,,,,
Shavo Odadjian,composer,S10056,CO0557,RO0019,,,,,,,,,,,,,,,,,,,,,
Greg Gordon,mixingEngineer,S10056,CO0214,RO0054,,,,,,,,,,,,,,,,,,,,,
Dave Sardy,mixingEngineer,S10056,CO0117,RO0054,,,,,,,,,,,,,,,,,,,,,
Marcos Siega,director,S10056,CO0389,RO0026,,,,,,,,,,,,,,,,,,,,,
John Dolmayan,drum,S10056,CO0304,RO0028,,,,,,,,,,,,,,,,,,,,,
Greg Collins,engineer,S10056,CO0213,RO0032,,,,,,,,,,,,,,,,,,,,,
Doug ˇHnederson,engineer,S10056,CO0159,RO0032,,,,,,,,,,,,,,,,,,,,,
Darren Mora,engineer,S10056,CO0117,RO0032,,,,,,,,,,,,,,,,,,,,,
Mark Mann,conductor,S10056,CO0393,RO0022,,,,,,,,,,,,,,,,,,,,,
Serj tankian,leadVoice,S10056,CO0555,RO0047,,,,,,,,,,,,,,,,,,,,,
Daron Malkaian,leadVoice,S10056,CO0117,RO0047,,,,,,,,,,,,,,,,,,,,,
Ryan McCormick,assistantEngineer,S10056,CO0539,RO0006,,,,,,,,,,,,,,,,,,,,,
Darren Mora,assistantEngineer,S10056,CO0117,RO0006,,,,,,,,,,,,,,,,,,,,,
Al Sanderson,assistantEngineer,S10056,CO0005,RO0006,,,,,,,,,,,,,,,,,,,,,
Mark Mann,stringArangements,S10056,CO0393,RO0070,,,,,,,,,,,,,,,,,,,,,
Rick Rubin,piano,S10056,CO0517,RO0060,,,,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10056,CO0202,RO0024,,,,,,,,,,,,,,,,,,,,,
Chris Gehringer,mastering,S10056,CO0102,RO0051,,,,,,,,,,,,,,,,,,,,,
Will Quinnell,mastering,S10056,CO0631,RO0051,,,,,,,,,,,,,,,,,,,,,
Vladmimir Meller,mastering,S10056,CO0625,RO0051,,,,,,,,,,,,,,,,,,,,,
Daron Malkaian,producer,S10056,CO0117,RO0062,,,,,,,,,,,,,,,,,,,,,
Rick Rubin,producer,S10056,CO0517,RO0062,,,,,,,,,,,,,,,,,,,,,
Serj Tankian,producer,S10056,CO0555,RO0062,,,,,,,,,,,,,,,,,,,,,
Dave Sardy,producer,S10056,CO0117,RO0062,,,,,,,,,,,,,,,,,,,,,
Daron Malkaian,electricGuitar,S10056,CO0117,RO0031,,,,,,,,,,,,,,,,,,,,,
Voskerchyan,dataCollection,S10056,CO0626,RO0023,,,,,,,,,,,,,,,,,,,,,
Kim Subin,bassGuitar,S10057,CO0345,RO0013,,,,,,,,,,,,,,,,,,,,,
Lee Sun Kyoung,bassGuitar,S10057,CO0358,RO0013,,,,,,,,,,,,,,,,,,,,,
Park Jun Tae,bassGuitar,S10057,CO0473,RO0013,,,,,,,,,,,,,,,,,,,,,
V,voice,S10057,CO0620,RO0086,,,,,,,,,,,,,,,,,,,,,
Jungkook,voice,S10057,CO0325,RO0086,,,,,,,,,,,,,,,,,,,,,
RM,voice,S10057,CO0518,RO0086,,,,,,,,,,,,,,,,,,,,,
J-hope,voice,S10057,CO0288,RO0086,,,,,,,,,,,,,,,,,,,,,
Jin,voice,S10057,CO0294,RO0086,,,,,,,,,,,,,,,,,,,,,
Suga,voice,S10057,CO0582,RO0086,,,,,,,,,,,,,,,,,,,,,
Jimin,voice,S10057,CO0292,RO0086,,,,,,,,,,,,,,,,,,,,,
Jungkook,lyricist,S10057,CO0325,RO0049,,,,,,,,,,,,,,,,,,,,,
Pdogg,lyricist,S10057,CO0484,RO0049,,,,,,,,,,,,,,,,,,,,,
Hitman Bang,lyricist,S10057,CO0233,RO0049,,,,,,,,,,,,,,,,,,,,,
Suga,lyricist,S10057,CO0582,RO0049,,,,,,,,,,,,,,,,,,,,,
Emily Weisband,lyricist,S10057,CO0176,RO0049,,,,,,,,,,,,,,,,,,,,,
Melanie Fontana,composer,S10057,CO0419,RO0019,,,,,,,,,,,,,,,,,,,,,
Hyunwoo Nam,mixingEngineer,S10057,CO0243,RO0054,,,,,,,,,,,,,,,,,,,,,
Park Jin Hee,engineer,S10057,CO0473,RO0032,,,,,,,,,,,,,,,,,,,,,
Alex Williams,engineer,S10057,CO0016,RO0032,,,,,,,,,,,,,,,,,,,,,
RM,engineer,S10057,CO0518,RO0032,,,,,,,,,,,,,,,,,,,,,
Lee Taewook,guitar,S10057,CO0359,RO0040,,,,,,,,,,,,,,,,,,,,,
BTS,leadVoice,S10057,CO0083,RO0047,,,,,,,,,,,,,,,,,,,,,
Halsey,leadVoice,S10057,CO0222,RO0047,,,,,,,,,,,,,,,,,,,,,
Michael Park,assistantEngineer,S10057,CO0425,RO0006,,,,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10057,CO0202,RO0024,,,,,,,,,,,,,,,,,,,,,
Adora,assistantMixingEngineer,S10057,CO0003,RO0007,,,,,,,,,,,,,,,,,,,,,
YongSeok Choi,producer,S10057,CO0636,RO0062,,,,,,,,,,,,,,,,,,,,,
Jihye Yoon,producer,S10057,CO0289,RO0062,,,,,,,,,,,,,,,,,,,,,
HyeJeong Park,producer,S10057,CO0242,RO0062,,,,,,,,,,,,,,,,,,,,,
Yeri Kang,acousticGuitar,S10057,CO0635,RO0001,,,,,,,,,,,,,,,,,,,,,
Vu,dataCollection,S10057,CO0627,RO0023,,,,,,,,,,,,,,,,,,,,,
